date,digital marketing,social media,content marketing,SEO,PPC,email marketing,influencer marketing,ecommerce,video marketing,affiliate marketing,online advertising,SEM,Google Ads,Facebook Ads,content creation,brand strategy,customer engagement,market research,analytics,data-driven marketing,user experience
2025-01-01,19,43,2,46,10,15,8,50,4,17,0,71,6,3,1,1,1,4,43,0,32
2025-01-02,24,56,3,51,12,23,6,80,6,22,0,85,12,4,1,1,1,6,71,0,52
2025-01-03,25,50,3,51,14,22,6,77,6,22,0,86,11,5,1,2,1,5,70,0,45
2025-01-04,26,47,3,60,12,24,6,72,5,22,0,86,8,4,1,1,1,5,60,0,49
2025-01-05,22,47,2,45,7,16,4,55,4,21,0,83,7,4,1,1,1,5,48,0,37
2025-01-06,27,60,3,56,10,27,8,83,6,22,0,90,12,5,1,2,1,7,85,0,61
2025-01-07,26,65,3,53,13,27,7,89,7,21,0,97,13,5,1,2,1,8,90,0,62
2025-01-08,28,64,3,53,13,27,10,86,8,20,0,95,12,5,1,2,1,8,91,0,66
2025-01-09,26,65,3,55,14,27,8,84,7,20,0,90,11,5,1,2,1,8,95,0,61
2025-01-10,23,59,3,52,14,28,7,79,7,18,0,86,11,5,1,1,1,7,89,0,54
2025-01-11,23,53,3,60,10,24,5,71,6,21,0,83,8,4,1,1,1,5,70,0,45
2025-01-12,22,53,2,44,7,16,5,53,5,19,0,79,7,4,1,1,1,5,50,0,38
2025-01-13,26,68,3,54,12,28,7,83,6,19,0,87,12,5,1,2,1,7,90,0,61
2025-01-14,26,70,3,58,11,28,9,85,7,21,0,85,12,5,1,1,1,9,92,0,60
2025-01-15,25,67,3,58,11,27,9,85,6,21,0,93,13,5,1,2,1,8,96,0,67
2025-01-16,27,72,4,80,12,27,8,96,8,20,0,87,13,5,1,2,2,9,94,0,74
2025-01-17,26,65,3,61,10,26,7,89,6,20,0,91,12,5,1,2,1,8,88,0,72
2025-01-18,29,60,3,85,10,26,7,92,6,21,0,84,9,4,1,2,1,7,64,0,52
2025-01-19,25,68,3,73,8,26,6,85,7,28,0,80,8,4,1,2,1,6,67,0,60
2025-01-20,28,67,3,81,11,28,8,94,7,25,0,90,13,5,1,2,2,8,90,0,62
2025-01-21,31,71,3,61,10,27,8,91,8,20,0,90,12,5,1,2,2,9,96,0,61
2025-01-22,27,68,3,59,10,28,10,84,6,19,0,88,13,5,1,2,1,8,95,0,56
2025-01-23,25,72,3,62,11,28,8,97,8,22,0,92,13,5,1,2,2,9,100,0,78
2025-01-24,26,65,3,61,9,25,7,82,7,18,0,92,12,5,1,2,2,8,88,0,70
2025-01-25,26,58,3,69,8,24,5,79,6,21,0,81,8,4,1,2,1,6,76,0,64
2025-01-26,22,55,2,49,7,17,6,56,5,20,0,84,7,4,1,1,1,6,52,0,60
2025-01-27,27,72,3,58,12,26,7,86,8,20,0,90,13,5,1,2,1,9,95,0,73
2025-01-28,28,70,4,61,11,26,8,90,9,20,0,94,12,5,1,3,2,10,92,0,74
2025-01-29,28,70,3,59,11,27,10,85,8,21,0,95,13,5,1,2,1,10,88,0,67
2025-01-30,27,67,3,57,11,27,8,83,8,21,0,97,11,5,1,2,1,10,89,0,68
2025-01-31,28,64,3,59,11,26,7,75,7,19,0,88,12,5,1,2,1,9,83,0,72
2025-02-01,24,50,3,64,8,23,5,78,7,20,0,82,9,4,1,2,1,7,70,0,60
2025-02-02,28,56,3,58,8,18,6,64,8,20,0,84,9,4,1,2,1,7,53,0,52
2025-02-03,27,75,4,62,10,27,10,89,8,22,0,88,14,5,1,2,2,12,97,0,68
2025-02-04,27,73,4,62,11,29,10,92,8,22,0,91,14,5,1,3,1,10,94,0,79
2025-02-05,27,70,4,63,10,27,12,100,9,21,0,94,14,5,1,3,2,10,98,0,72
2025-02-06,32,68,4,64,10,27,9,87,8,21,0,84,13,5,1,2,1,10,92,0,75
2025-02-07,27,64,4,67,10,28,7,95,10,20,0,88,13,5,1,2,2,9,86,0,76
2025-02-08,27,54,4,75,8,24,8,84,6,22,0,78,9,4,1,2,1,7,68,0,71
2025-02-09,26,55,3,62,8,19,8,63,7,19,0,81,8,4,1,1,1,7,50,0,46
2025-02-10,27,68,4,67,12,27,9,92,9,21,0,88,13,5,1,3,2,10,95,0,77
2025-02-11,29,68,4,70,10,33,10,94,7,19,0,85,14,5,1,3,2,10,92,0,75
2025-02-12,27,67,3,66,10,26,11,88,8,19,0,88,14,5,1,2,2,10,95,0,73
2025-02-13,31,68,3,62,10,27,9,89,8,17,0,87,13,5,1,2,2,10,90,0,81
2025-02-14,26,59,3,62,9,25,7,81,7,16,0,87,12,5,1,2,2,9,81,0,95
2025-02-15,27,53,3,74,8,24,7,79,6,21,0,81,8,4,1,2,2,7,70,0,86
2025-02-16,26,54,3,56,7,18,6,61,7,19,0,85,8,4,1,2,2,8,54,0,81
2025-02-17,29,66,4,69,10,28,8,89,9,20,0,89,13,5,1,2,2,9,92,0,86
2025-02-18,29,72,4,71,10,31,10,95,8,20,0,92,13,5,1,3,2,10,96,0,100
2025-02-19,28,70,4,66,10,28,12,86,8,20,0,89,13,5,1,2,2,10,94,0,84
2025-02-20,34,70,4,69,10,29,10,96,8,20,0,88,13,5,1,2,2,10,100,0,88
2025-02-21,28,66,4,71,10,29,10,93,9,19,0,86,12,5,1,3,2,9,95,0,95
2025-02-22,28,55,4,78,8,30,7,93,9,21,0,80,9,4,1,2,2,8,82,0,92
2025-02-23,29,58,3,69,8,21,7,69,7,18,0,82,8,4,1,2,2,8,54,0,70
2025-02-24,33,75,4,69,10,33,10,99,9,19,0,88,13,5,1,3,2,10,98,0,88
2025-02-25,28,71,4,67,10,32,10,91,10,19,0,87,13,5,1,3,2,10,94,0,94
2025-02-26,27,71,4,63,11,29,11,96,8,20,0,85,13,5,1,2,2,9,93,0,87
2025-02-27,28,70,4,66,10,28,10,86,9,19,0,88,13,5,1,3,2,10,87,0,84
2025-02-28,26,65,3,61,10,26,8,77,8,16,0,87,12,4,1,2,2,9,80,0,92
2025-03-01,25,53,3,70,7,22,6,78,6,19,0,78,9,4,1,2,2,7,63,0,50
2025-03-02,28,57,3,59,7,17,6,62,8,18,0,77,8,4,1,2,1,7,49,0,55
2025-03-03,31,74,4,63,9,28,8,87,7,19,0,76,13,5,1,3,2,9,91,0,74
2025-03-04,26,73,3,66,9,28,9,86,10,18,0,78,13,5,1,3,2,10,93,0,74
2025-03-05,25,70,3,59,9,28,11,80,8,18,0,88,13,5,1,3,2,10,86,0,70
2025-03-06,30,71,4,61,9,30,9,89,9,18,0,91,14,5,1,3,2,10,92,0,76
2025-03-07,26,67,3,76,9,28,9,86,8,18,0,91,12,5,1,3,2,10,89,0,71
2025-03-08,26,56,4,80,8,26,8,83,7,21,0,83,9,4,1,2,2,7,65,0,61
2025-03-09,27,57,3,68,7,19,7,66,6,17,0,82,8,4,1,2,1,6,50,0,56
2025-03-10,28,70,4,72,10,31,10,90,8,18,0,88,14,5,1,2,2,10,94,0,68
2025-03-11,27,70,4,70,9,30,10,87,7,19,0,87,13,5,1,2,2,10,92,0,70
2025-03-12,27,71,4,75,10,30,10,87,8,19,0,90,14,5,1,2,2,10,95,0,65
2025-03-13,29,66,3,89,11,27,8,87,9,17,0,91,13,5,1,2,2,10,87,0,85
2025-03-14,24,60,3,69,9,24,8,75,7,18,0,85,12,4,1,2,2,8,71,0,66
2025-03-15,25,53,3,78,8,25,6,76,7,20,0,89,8,4,1,2,1,7,65,0,57
2025-03-16,24,52,2,64,7,19,6,61,6,19,0,83,8,3,1,2,1,7,50,0,57
2025-03-17,32,66,4,72,10,29,9,88,8,19,0,99,15,5,1,2,2,10,95,0,66
2025-03-18,31,69,3,73,9,29,10,92,8,20,0,100,15,5,1,2,2,9,97,0,70
2025-03-19,30,69,3,66,10,30,12,92,8,19,0,96,15,5,1,2,2,10,92,0,68
2025-03-20,31,72,3,69,9,28,9,88,8,17,0,95,14,5,1,2,2,9,91,0,67
2025-03-21,29,62,3,70,9,28,9,87,8,17,0,95,13,5,1,2,2,9,92,0,69
2025-03-22,31,57,4,78,9,28,7,85,7,22,0,87,9,4,1,2,2,7,75,0,65
2025-03-23,31,57,3,73,8,20,7,70,7,18,0,83,8,4,1,2,1,7,61,0,53
2025-03-24,35,74,4,78,11,32,10,95,8,20,0,96,14,5,1,2,2,10,95,0,69
2025-03-25,32,71,4,100,11,32,10,98,7,20,0,96,15,5,1,2,2,10,97,0,72
2025-03-26,33,67,4,71,11,30,14,96,8,19,0,94,14,5,1,2,2,9,97,0,75
2025-03-27,34,69,4,71,11,29,11,92,9,18,0,93,14,5,1,2,2,10,92,0,69
2025-03-28,30,63,3,67,10,28,9,87,8,17,0,89,13,4,1,2,2,10,86,0,64
2025-03-29,29,54,3,73,8,27,7,85,7,18,0,87,8,4,1,2,2,7,76,0,56
2025-03-30,28,53,3,95,8,19,7,66,6,17,0,83,7,3,1,2,1,6,57,0,50
2025-03-31,32,69,4,77,10,28,9,89,8,18,0,95,12,4,1,3,2,9,96,0,62
